name,field,subcategory,mbti
Alessandro Cattelan,Entertainment,Pembawa Acara,ENTP
Alessia Marcuzzi,Entertainment,Pembawa Acara,ESFJ
Alex Belli,Entertainment,Aktor/Aktres,ESTP
Alex Boniello,Entertainment,Aktor/Aktres,ENFP
Alex Brightman,Entertainment,Aktor/Aktres,ENFJ
Alex Edelman,Entertainment,Komedian,ENTP
Alex Fernández,Entertainment,Komedian,ENFP
Alex Garland,Entertainment,Film & TV Crew,INTJ
Alex Gonzaga,Entertainment,Aktor/Aktres,ESFP
Alex Hooper,Entertainment,Komedian,ENTP
Alex Horne,Entertainment,Komedian,INTP
Alex Høgh Andersen,Entertainment,Aktor/Aktres,ENFP
Alex Hunter (HiTop Films),Entertainment,Sutradara Film,INFP
Alex Jennings,Entertainment,Aktor/Aktres,INTP
Alex Kingston,Entertainment,Aktor/Aktres,ENFJ
Alex Landi,Entertainment,Aktor/Aktres,ISTP
Alex Lawther,Entertainment,Aktor/Aktres,INFP
Alex Marin,Entertainment,Aktor/Aktres,ESTJ
Alex Moffat,Entertainment,Aktor/Aktres,ENTP
Alex O'Loughlin,Entertainment,Aktor/Aktres,ESTP
Alex Pettyfer,Entertainment,Aktor/Aktres,ISFP
Álex Pina,Entertainment,Sutradara Film,ENTP
Alex Quiroz,Entertainment,Komedian,ISFP
Alex Ross Perry,Entertainment,Sutradara Film,ISTP
Alex Trebek,Entertainment,Pembawa Acara,INTJ
Alex Wolff,Entertainment,Aktor/Aktres,INFP
Alexa Chung,Entertainment,Pembawa Acara,ENTP
Alexa Demie,Entertainment,Aktor/Aktres,ISFP
Alexa Nikolas,Entertainment,Aktor/Aktres,ENFP
Alexa PenaVega,Entertainment,Aktor/Aktres,ENFJ
"Alexander ""Sasha Maloy"" Rakovskih",Entertainment,Komedian,ENFP
Alexander Calvert,Entertainment,Aktor/Aktres,INFP
Alexander Gorchilin,Entertainment,Aktor/Aktres,ISFP
Alexander Koch,Entertainment,Aktor/Aktres,ISFP
Alexander Ludwig,Entertainment,Aktor/Aktres,ISFP
Alexander Rakovskih “Sasha Maloj” (Саша Малой),Entertainment,Komedian,ENFP
Alexander Skarsgård,Entertainment,Aktor/Aktres,ENTP
Alexandr Gudkov,Entertainment,Komedian,ENFP
Alexandra Breckenridge,Entertainment,Aktor/Aktres,ENFP
Alexandra Cooper,Entertainment,Pembawa Acara,ESFP
Alexandra Daddario,Entertainment,Aktor/Aktres,ESTP
Alexandra Dolgopolova (Александр Долгополов),Entertainment,Komedian,INFP
Alexandra Shipp,Entertainment,Aktor/Aktres,ENTP
Alexandre Astier,Entertainment,Komedian,INTJ
Alexandre Borges,Entertainment,Aktor/Aktres,ENFJ
Alexandre Nero,Entertainment,Aktor/Aktres,ENTP
Alexei Kvashonkin,Entertainment,Komedian,ENTJ
Alexei Shcherbakov,Entertainment,Komedian,ESTP
Alexina Graham,Entertainment,Model,ENFP
